,address,type,price,features,labels
1820,"The Domain | 831 Coronado Center Dr, Henderson, NV",The Domain,,"['$1,220+', '$1,324+', '$1,917+']","['2 bds', '1 bd', '3 bds']"
1821,"W Horizon Ridge Pkwy, Henderson, NV 89052",Condo for rent,"$1,150/mo","['2', '2', '1,054']","['sqft', 'ba', 'bds']"
1822,"1309 Autumn Wind Way, Henderson, NV 89052",House for rent,"$2,400/mo","['4', '3', '3,097']","['sqft', 'ba', 'bds']"
1823,"3174 Dusty Moon Ave, Henderson, NV 89052",House for sale,"$339,900","['3', '2', '1,612']","['sqft', 'ba', 'bds']"
1824,"3181 Arville St, Las Vegas, NV 89102",Townhouse for sale,"$185,000","['2', '2', '1,156']","['sqft', 'ba', 'bds']"
1825,"3817 El Parque Ave, Las Vegas, NV 89102",House for sale,"$255,500","['3', '2', '1,581']","['sqft', 'ba', 'bds']"
1826,"Country Club at Valley View | 1400 S Valley View Blvd, Las Vegas, NV",Country Club at Valley View,,"['$905+', '$910+']","['2 bds', '1 bd']"
1827,"4451 Rich Dr UNIT D, Las Vegas, NV 89102",Auction,$--,"['2', '2', '922']","['sqft', 'ba', 'bds']"
1828,"ReNew at Decatur | 2666 S Decatur Blvd, Las Vegas, NV",ReNew at Decatur,,"['$935+', '$995+', '$1,200+']","['2 bds', '1 bd', '3 bds']"
1829,"Shelter Cove | 2683 S Decatur Blvd, Las Vegas, NV",Shelter Cove,,"['$830+', '$1,165+']","['2 bds', '1 bd']"
1830,"3217 Merritt Ave, Las Vegas, NV 89102",House for rent,"$1,380/mo","['4', '2', '1,289']","['sqft', 'ba', 'bds']"
1831,"1601 Eaton Dr, Las Vegas, NV 89102",House for rent,"$4,300/mo","['6', '5', '4,094']","['sqft', 'ba', 'bds']"
1832,"ReNew 2900 | 2900 El Camino Ave, Las Vegas, NV",ReNew 2900,,"['$850+', '$1,075+', '$1,340+']","['2 bds', '1 bd', '3 bds']"
1833,"2721 Sidonia Ave, Las Vegas, NV 89102",House for rent,"$1,450/mo","['3', '2', '1,301']","['sqft', 'ba', 'bds']"
1834,"217 W New York Avenue | 217 W New York Ave, Las Vegas, NV",217 W New York Avenue,,['$650+'],['1 bd']
1835,"2851 S Valley View Blvd, Las Vegas, NV",For Rent,,"['$1,350+']",['2 bds']
1836,"200 W Sahara Ave, Las Vegas, NV",For Rent,,"['$1,600+', '$1,550+', '$2,400']","['2 bds', '1 bd', '3 bds']"
1837,"Indian Hills | 4550 W Sahara Ave, Las Vegas, NV",Indian Hills,,"['$880+', '$1,075+']","['2 bds', '1 bd']"
1838,"3612 Westleigh Ave, Las Vegas, NV 89102",House for rent,"$1,995/mo","['3', '2', '1,136']","['sqft', 'ba', 'bds']"
1839,"4348 Tara Ave # 1, Las Vegas, NV 89102",Condo for sale,"$92,900","['2', '1', '902']","['sqft', 'ba', 'bds']"
1840,"3220 Mason Ave, Las Vegas, NV 89102",For sale by owner,"$849,000","['4', '4', '3,844']","['sqft', 'ba', 'bds']"
1841,"200 W Sahara Ave UNIT 3606, Las Vegas, NV 89102",Condo for sale,"$259,900","['1', '1', '867']","['sqft', 'ba', 'bd']"
1842,"4105 Las Lomas Ave, Las Vegas, NV 89102",House for sale,"$289,000","['5', '2', '1,972']","['sqft', 'ba', 'bds']"
1843,"200 W Sahara Ave UNIT 2703, Las Vegas, NV 89102",Condo for sale,"$258,000","['1', '1', '867']","['sqft', 'ba', 'bd']"
1844,"3009 Mason Ave, Las Vegas, NV 89102",House for sale,"$458,000","['5', '4', '3,352']","['sqft', 'ba', 'bds']"
